transaction_id,account_id,transaction_date,transaction_time,transaction_type,amount,currency,branch_id,merchant_category,is_flagged
TX00000069,ACC000002,2026-06-06,16:13,Market/Alışveriş,-3688.42,TRY,BR012,Elektronik,False
TX00000070,ACC000002,2026-06-08,23:36,Market/Alışveriş,1497.35,TRY,BR011,Seyahat,False
TX00000071,ACC000002,2026-06-30,21:06,Market/Alışveriş,-5956.66,TRY,BR016,Seyahat,False
TX00000072,ACC000002,2026-07-12,23:04,Maaş Yatışı,18631.97,TRY,BR015,,False
TX00000073,ACC000002,2026-08-09,23:41,Market/Alışveriş,-1153.21,TRY,BR017,Seyahat,False
TX00000074,ACC000003,2026-07-04,19:34,Döviz İşlemi,5862.01,TRY,BR011,,False
TX00000075,ACC000003,2026-07-05,08:24,Maaş Yatışı,20351.19,TRY,BR012,,False
TX00000076,ACC000003,2026-07-06,02:34,Market/Alışveriş,-7704.35,TRY,BR019,Restoran,False
TX00000077,ACC000003,2026-07-11,08:41,Fatura Ödemesi,-60.07,TRY,BR001,,False
TX00000078,ACC000003,2026-07-12,10:56,Yatırım İşlemi,119.1,TRY,BR002,,False
TX00000079,ACC000003,2026-07-13,21:58,Kredi Kartı Harcaması,1575.53,TRY,BR002,Restoran,False
TX00000080,ACC000003,2026-07-21,19:59,Yatırım İşlemi,1242.59,TRY,BR003,,False
TX00000081,ACC000003,2026-07-24,15:32,Havale/EFT,-1888.57,TRY,BR008,,False
TX00000082,ACC000003,2026-07-30,06:34,Havale/EFT,3132.19,TRY,BR020,,False
TX00000083,ACC000003,2026-08-04,13:44,Yatırım İşlemi,-5712.05,TRY,BR014,,False
TX00000084,ACC000003,2026-08-06,11:22,Fatura Ödemesi,-279.46,TRY,BR007,,False
TX00000085,ACC000003,2026-08-09,07:26,Fatura Ödemesi,-373.32,TRY,BR018,,False
TX00000086,ACC000003,2026-08-12,02:03,ATM Para Çekme,-790.45,TRY,BR005,,False
TX00000087,ACC000003,2026-08-19,03:42,Yatırım İşlemi,-826.36,TRY,BR003,,False
TX00000088,ACC000003,2026-08-20,23:52,ATM Para Çekme,-762.58,TRY,BR012,,False
TX00000089,ACC000004,2025-10-11,22:39,Kredi Kartı Harcaması,2883.11,TRY,BR016,Fatura/Kamu,False
TX00000090,ACC000004,2025-10-12,16:14,Market/Alışveriş,-1062.69,TRY,BR010,Elektronik,False
TX00000091,ACC000004,2025-10-16,20:48,ATM Para Çekme,-84.97,TRY,BR015,,False
TX00000092,ACC000004,2025-10-18,18:24,Havale/EFT,-2851.51,TRY,BR010,,False
TX00000093,ACC000004,2025-10-20,12:31,Maaş Yatışı,15422.68,TRY,BR001,,False
TX00000094,ACC000004,2025-10-23,21:27,ATM Para Çekme,-985.39,TRY,BR018,,False
TX00000095,ACC000004,2025-10-24,11:59,Maaş Yatışı,21057.78,TRY,BR001,,False
TX00000096,ACC000004,2025-11-01,23:59,Yatırım İşlemi,6486.94,TRY,BR002,,False
TX00000097,ACC000004,2025-11-25,21:16,Maaş Yatışı,24677.21,TRY,BR020,,False
TX00000098,ACC000004,2025-11-26,10:53,Maaş Yatışı,22114.49,TRY,BR009,,False
TX00000099,ACC000004,2025-11-29,11:30,Havale/EFT,-1835.26,TRY,BR018,,False
TX00000100,ACC000004,2025-12-01,10:04,Fatura Ödemesi,-999.34,TRY,BR015,,False
TX00000101,ACC000004,2025-12-06,01:14,Fatura Ödemesi,-278.29,TRY,BR004,,False
TX00000102,ACC000004,2025-12-17,07:22,Kredi Kartı Harcaması,3447.07,TRY,BR004,Akaryakıt,True
TX00000103,ACC000004,2025-12-19,11:53,Fatura Ödemesi,-1233.68,TRY,BR014,,False
TX00000104,ACC000004,2025-12-20,10:38,Yatırım İşlemi,81.19,TRY,BR012,,False
TX00000105,ACC000004,2025-12-27,18:01,Fatura Ödemesi,-465.14,TRY,BR004,,False
TX00000106,ACC000004,2026-01-06,02:04,Market/Alışveriş,-3605.5,TRY,BR008,Diğer,False
TX00000107,ACC000004,2026-01-14,10:17,Döviz İşlemi,-4657.47,TRY,BR007,,False
TX00000108,ACC000004,2026-01-23,13:23,ATM Para Çekme,-37.01,TRY,BR003,,False
TX00000109,ACC000004,2026-02-02,18:42,ATM Para Çekme,-2509.65,TRY,BR005,,False
TX00000110,ACC000004,2026-02-06,18:31,Yatırım İşlemi,-5167.62,TRY,BR007,,False
TX00000111,ACC000004,2026-02-09,22:59,Fatura Ödemesi,-799.39,TRY,BR016,,False
TX00000112,ACC000004,2026-02-11,05:04,Havale/EFT,2565.69,TRY,BR005,,False
TX00000113,ACC000004,2026-02-16,10:37,ATM Para Çekme,-1111.69,TRY,BR020,,False
TX00000114,ACC000004,2026-02-19,20:28,Kredi Kartı Harcaması,575.7,TRY,BR014,Fatura/Kamu,False
TX00000115,ACC000004,2026-02-27,20:29,Havale/EFT,1069.48,TRY,BR013,,False
TX00000116,ACC000004,2026-03-01,03:14,Maaş Yatışı,14477.17,TRY,BR010,,False
TX00000117,ACC000004,2026-03-03,12:20,Yatırım İşlemi,13.91,TRY,BR006,,False
TX00000118,ACC000004,2026-03-05,08:36,ATM Para Çekme,-1737.68,TRY,BR020,,False
TX00000119,ACC000004,2026-03-08,14:14,Maaş Yatışı,12810.79,TRY,BR006,,False
TX00000120,ACC000004,2026-03-15,16:48,ATM Para Çekme,-2612.09,TRY,BR006,,False
TX00000121,ACC000004,2026-03-16,17:34,Havale/EFT,-4669.56,TRY,BR007,,False
TX00000122,ACC000004,2026-03-17,09:36,Havale/EFT,-993.05,TRY,BR014,,False
TX00000123,ACC000004,2026-03-22,13:31,Fatura Ödemesi,-1034.22,TRY,BR009,,False
TX00000124,ACC000004,2026-03-23,23:42,Market/Alışveriş,-2360.45,TRY,BR004,Sağlık,False
TX00000125,ACC000004,2026-03-26,16:21,Fatura Ödemesi,-343.96,TRY,BR009,,False
TX00000126,ACC000004,2026-03-30,01:27,Kredi Kartı Harcaması,1851.51,TRY,BR004,Elektronik,False
TX00000127,ACC000004,2026-04-04,18:24,Havale/EFT,-1996.1,TRY,BR008,,False
TX00000128,ACC000004,2026-04-06,05:46,Market/Alışveriş,-4126.88,TRY,BR016,Fatura/Kamu,False
TX00000129,ACC000004,2026-04-07,23:47,Fatura Ödemesi,-678.65,TRY,BR007,,False
TX00000130,ACC000004,2026-04-08,19:13,Fatura Ödemesi,-200.6,TRY,BR006,,False
TX00000131,ACC000004,2026-04-09,20:37,Maaş Yatışı,20934.42,TRY,BR008,,False
TX00000132,ACC000004,2026-04-13,09:42,Maaş Yatışı,25935.35,TRY,BR016,,False
TX00000133,ACC000004,2026-04-19,14:20,Maaş Yatışı,27783.44,TRY,BR008,,False
TX00000134,ACC000004,2026-04-21,21:07,Döviz İşlemi,-70.35,TRY,BR012,,False
TX00000135,ACC000004,2026-04-29,06:56,Maaş Yatışı,17372.8,TRY,BR014,,False
TX00000136,ACC000004,2026-04-30,10:26,Kredi Kartı Harcaması,185.72,TRY,BR013,Seyahat,False
TX00000137,ACC000004,2026-05-02,23:14,Havale/EFT,-4599.6,TRY,BR011,,False
TX00000138,ACC000004,2026-05-04,18:56,Döviz İşlemi,2776.72,TRY,BR006,,False
TX00000139,ACC000004,2026-05-07,17:01,Kredi Kartı Harcaması,1587.28,TRY,BR001,Eğitim,False
TX00000140,ACC000004,2026-05-08,17:04,Kredi Kartı Harcaması,1522.67,TRY,BR002,Elektronik,False
TX00000141,ACC000004,2026-05-09,17:25,ATM Para Çekme,-507.36,TRY,BR008,,False
TX00000142,ACC000004,2026-05-11,06:35,Kredi Kartı Harcaması,499.44,TRY,BR008,Market,False
TX00000143,ACC000004,2026-05-12,16:06,Havale/EFT,753.27,TRY,BR017,,False
TX00000144,ACC000004,2026-05-15,20:49,Maaş Yatışı,26599.31,TRY,BR008,,False
TX00000145,ACC000004,2026-05-16,12:41,Fatura Ödemesi,-1104.57,TRY,BR013,,False
TX00000146,ACC000004,2026-05-17,02:04,Maaş Yatışı,21172.53,TRY,BR017,,False
TX00000147,ACC000004,2026-05-21,18:50,Market/Alışveriş,1119.88,TRY,BR013,Restoran,False
TX00000148,ACC000004,2026-05-29,13:05,Döviz İşlemi,-4924.3,TRY,BR008,,False
TX00000149,ACC000004,2026-06-04,23:25,Havale/EFT,-1546.47,TRY,BR012,,False
TX00000150,ACC000004,2026-06-09,15:36,ATM Para Çekme,-1161.52,TRY,BR004,,False
TX00000151,ACC000004,2026-06-14,15:37,Market/Alışveriş,4683.1,TRY,BR008,Akaryakıt,False
TX00000152,ACC000004,2026-06-15,18:48,Döviz İşlemi,3526.53,TRY,BR008,,False
TX00000153,ACC000004,2026-06-16,09:47,Döviz İşlemi,-4936.5,TRY,BR011,,False
TX00000154,ACC000004,2026-06-18,08:44,Yatırım İşlemi,3800.37,TRY,BR007,,False
TX00000155,ACC000004,2026-06-29,02:24,Fatura Ödemesi,-579.39,TRY,BR005,,False
TX00000156,ACC000004,2026-07-01,14:55,Fatura Ödemesi,-293.22,TRY,BR004,,False
TX00000157,ACC000004,2026-07-02,20:51,Yatırım İşlemi,-6927.22,TRY,BR017,,False
TX00000158,ACC000004,2026-07-16,22:23,ATM Para Çekme,-809.68,TRY,BR017,,False
TX00000159,ACC000004,2026-07-19,23:54,Kredi Kartı Harcaması,138.98,TRY,BR005,E-ticaret,False
TX00000160,ACC000004,2026-07-22,15:04,Yatırım İşlemi,-74.36,TRY,BR001,,False
TX00000161,ACC000004,2026-07-24,10:06,Fatura Ödemesi,-895.73,TRY,BR002,,False
TX00000162,ACC000004,2026-07-27,00:59,ATM Para Çekme,-2075.42,TRY,BR007,,False
TX00000163,ACC000004,2026-07-28,09:23,Yatırım İşlemi,-1862.6,TRY,BR020,,False
TX00000164,ACC000004,2026-08-02,06:17,Market/Alışveriş,1349.16,TRY,BR006,Fatura/Kamu,False
TX00000165,ACC000004,2026-08-04,18:38,Yatırım İşlemi,1445.43,TRY,BR009,,False
TX00000166,ACC000004,2026-08-09,06:05,Havale/EFT,-1025.34,TRY,BR020,,False
TX00000167,ACC000004,2026-08-10,00:20,Market/Alışveriş,-9167.03,TRY,BR003,Market,False
TX00000168,ACC000004,2026-08-11,15:20,Döviz İşlemi,-4516.83,TRY,BR010,,False
TX00000169,ACC000004,2026-08-13,12:45,Yatırım İşlemi,2168.91,TRY,BR016,,False
TX00000170,ACC000004,2026-08-17,20:53,ATM Para Çekme,-42.15,TRY,BR009,,False
TX00000171,ACC000005,2026-06-03,14:49,Havale/EFT,289.71,EUR,BR012,,False
TX00000172,ACC000005,2026-06-05,05:59,ATM Para Çekme,-1086.16,EUR,BR001,,False
TX00000173,ACC000005,2026-06-06,00:37,Kredi Kartı Harcaması,1712.73,EUR,BR010,Sağlık,False
TX00000174,ACC000005,2026-06-07,16:58,Kredi Kartı Harcaması,1064.2,EUR,BR001,Diğer,False
TX00000175,ACC000005,2026-06-08,12:02,Maaş Yatışı,30443.38,EUR,BR009,,False
TX00000176,ACC000005,2026-06-09,00:55,Havale/EFT,-4230.07,EUR,BR016,,False
TX00000177,ACC000005,2026-06-17,22:09,Havale/EFT,-4939.39,EUR,BR006,,False
TX00000178,ACC000005,2026-06-19,03:03,Yatırım İşlemi,-478.79,EUR,BR015,,False
TX00000179,ACC000005,2026-06-21,08:54,Fatura Ödemesi,-374.17,EUR,BR007,,False
TX00000180,ACC000005,2026-06-24,05:57,Kredi Kartı Harcaması,1302.62,EUR,BR019,Sağlık,False
TX00000181,ACC000005,2026-06-30,02:11,Market/Alışveriş,5534.45,EUR,BR015,Market,False
TX00000182,ACC000005,2026-07-01,13:11,ATM Para Çekme,-702.21,EUR,BR001,,False
TX00000183,ACC000005,2026-07-02,14:36,Kredi Kartı Harcaması,1322.62,EUR,BR003,Diğer,False
TX00000184,ACC000005,2026-07-04,02:11,Fatura Ödemesi,-157.0,EUR,BR011,,False
TX00000185,ACC000005,2026-07-09,23:15,Kredi Kartı Harcaması,781.93,EUR,BR010,Restoran,False
TX00000186,ACC000005,2026-07-12,05:17,Yatırım İşlemi,2946.23,EUR,BR005,,False
TX00000187,ACC000005,2026-07-16,09:16,ATM Para Çekme,-254.81,EUR,BR015,,False
TX00000188,ACC000005,2026-07-17,11:22,Döviz İşlemi,-364.83,EUR,BR017,,False
TX00000189,ACC000005,2026-07-21,18:13,Yatırım İşlemi,-794.87,EUR,BR014,,False
TX00000190,ACC000005,2026-07-22,22:32,Maaş Yatışı,21149.45,EUR,BR018,,False
TX00000191,ACC000005,2026-07-25,14:16,ATM Para Çekme,-1187.37,EUR,BR002,,False
TX00000192,ACC000005,2026-07-31,01:20,Yatırım İşlemi,2549.82,EUR,BR004,,False
TX00000193,ACC000005,2026-08-03,10:41,Yatırım İşlemi,-882.27,EUR,BR004,,False
TX00000194,ACC000005,2026-08-04,14:34,Kredi Kartı Harcaması,1885.46,EUR,BR006,Market,False
TX00000195,ACC000005,2026-08-11,15:43,Kredi Kartı Harcaması,1684.64,EUR,BR013,Fatura/Kamu,False
TX00000196,ACC000005,2026-08-12,16:06,ATM Para Çekme,-1784.42,EUR,BR014,,False
TX00000197,ACC000005,2026-08-14,05:32,Yatırım İşlemi,-2610.8,EUR,BR006,,False
TX00000198,ACC000005,2026-08-19,10:50,Market/Alışveriş,-2315.4,EUR,BR002,Akaryakıt,False
TX00000199,ACC000005,2026-08-20,14:25,Market/Alışveriş,2636.97,EUR,BR006,Seyahat,False
TX00000200,ACC000005,2026-08-21,05:19,Market/Alışveriş,-2150.89,EUR,BR010,Akaryakıt,False
TX00000201,ACC000005,2026-08-22,23:15,ATM Para Çekme,-418.15,EUR,BR005,,False
TX00000202,ACC000006,2026-06-12,04:25,Market/Alışveriş,-2140.72,TRY,BR011,Fatura/Kamu,False
TX00000203,ACC000006,2026-06-17,18:01,Döviz İşlemi,-1341.25,TRY,BR008,,False
TX00000204,ACC000006,2026-06-19,10:32,ATM Para Çekme,-1669.58,TRY,BR001,,False
TX00000205,ACC000006,2026-06-24,09:27,ATM Para Çekme,-2873.42,TRY,BR003,,False
TX00000206,ACC000006,2026-07-01,12:43,Yatırım İşlemi,-2622.1,TRY,BR017,,False
TX00000207,ACC000006,2026-07-04,12:51,Fatura Ödemesi,-944.75,TRY,BR001,,False
TX00000208,ACC000006,2026-07-05,12:43,Market/Alışveriş,4553.3,TRY,BR015,Market,False
TX00000209,ACC000006,2026-07-26,22:37,Kredi Kartı Harcaması,449.09,TRY,BR009,Restoran,False
TX00000210,ACC000006,2026-08-01,01:56,Döviz İşlemi,-1237.9,TRY,BR020,,False
TX00000211,ACC000006,2026-08-08,14:20,Kredi Kartı Harcaması,1854.88,TRY,BR010,Market,False
TX00000212,ACC000006,2026-08-11,02:34,Yatırım İşlemi,-5697.6,TRY,BR004,,False
TX00000213,ACC000006,2026-08-12,13:57,Market/Alışveriş,4283.82,TRY,BR009,Sağlık,False
TX00000214,ACC000006,2026-08-21,19:46,Kredi Kartı Harcaması,997.04,TRY,BR004,Eğitim,True
TX00000215,ACC000007,2024-08-28,23:56,Maaş Yatışı,32189.74,TRY,BR003,,False
TX00000216,ACC000007,2024-08-31,09:39,ATM Para Çekme,-640.7,TRY,BR017,,False
TX00000217,ACC000007,2024-09-04,13:17,Döviz İşlemi,4648.2,TRY,BR006,,False
TX00000218,ACC000007,2024-09-12,08:17,Yatırım İşlemi,5079.39,TRY,BR015,,False
TX00000219,ACC000007,2024-09-16,07:04,Havale/EFT,-2587.95,TRY,BR020,,False
TX00000220,ACC000007,2024-09-25,14:09,Kredi Kartı Harcaması,2403.03,TRY,BR015,Seyahat,False
TX00000221,ACC000007,2024-09-26,08:25,Market/Alışveriş,-126.07,TRY,BR002,Diğer,False
TX00000222,ACC000007,2024-10-01,10:28,Kredi Kartı Harcaması,1140.46,TRY,BR015,Market,False
TX00000223,ACC000007,2024-10-02,18:27,Market/Alışveriş,2712.9,TRY,BR014,Market,False
TX00000224,ACC000007,2024-10-11,03:36,Yatırım İşlemi,734.7,TRY,BR010,,False
TX00000225,ACC000007,2024-10-12,23:25,Market/Alışveriş,-923.07,TRY,BR018,Eğitim,False
TX00000226,ACC000007,2024-10-14,11:40,Maaş Yatışı,24389.33,TRY,BR004,,False
TX00000227,ACC000007,2024-10-26,00:34,Market/Alışveriş,-882.54,TRY,BR011,Seyahat,False
TX00000228,ACC000007,2024-10-29,13:12,Yatırım İşlemi,7063.27,TRY,BR001,,False
TX00000229,ACC000007,2024-10-31,23:26,Fatura Ödemesi,-793.78,TRY,BR001,,False
TX00000230,ACC000007,2024-11-05,19:56,Kredi Kartı Harcaması,1431.3,TRY,BR013,Elektronik,True
TX00000231,ACC000007,2024-11-07,23:55,Market/Alışveriş,-3493.74,TRY,BR008,E-ticaret,False
TX00000232,ACC000007,2024-11-10,00:13,Market/Alışveriş,-4261.18,TRY,BR019,Seyahat,False
TX00000233,ACC000007,2024-11-15,03:51,Döviz İşlemi,-30.05,TRY,BR020,,False
TX00000234,ACC000007,2024-11-21,13:55,Havale/EFT,-1672.48,TRY,BR017,,False
TX00000235,ACC000007,2024-11-24,22:34,Yatırım İşlemi,-3929.58,TRY,BR004,,False
TX00000236,ACC000007,2024-12-01,01:23,Yatırım İşlemi,6915.08,TRY,BR013,,False
TX00000237,ACC000007,2024-12-06,18:48,Market/Alışveriş,-3793.07,TRY,BR004,E-ticaret,False
TX00000238,ACC000007,2024-12-09,03:21,ATM Para Çekme,-1056.78,TRY,BR003,,False
TX00000239,ACC000007,2024-12-20,07:56,Fatura Ödemesi,-312.04,TRY,BR012,,False
TX00000240,ACC000007,2024-12-29,12:16,Fatura Ödemesi,-1232.07,TRY,BR008,,False
TX00000241,ACC000007,2024-12-30,00:16,ATM Para Çekme,-4533.67,TRY,BR012,,False
TX00000242,ACC000007,2025-01-05,16:20,Kredi Kartı Harcaması,854.47,TRY,BR017,Sağlık,False
TX00000243,ACC000007,2025-01-14,08:38,ATM Para Çekme,-3299.38,TRY,BR004,,False
TX00000244,ACC000007,2025-01-25,10:32,Havale/EFT,-5320.93,TRY,BR003,,False
TX00000245,ACC000007,2025-01-30,07:16,Havale/EFT,3318.3,TRY,BR006,,False
TX00000246,ACC000007,2025-02-05,06:46,Maaş Yatışı,23346.5,TRY,BR003,,False
TX00000247,ACC000007,2025-02-07,18:48,Fatura Ödemesi,-972.97,TRY,BR019,,False
TX00000248,ACC000007,2025-02-09,06:30,Havale/EFT,3937.26,TRY,BR004,,False
TX00000249,ACC000007,2025-02-12,00:37,ATM Para Çekme,-103.66,TRY,BR014,,False
TX00000250,ACC000007,2025-02-14,20:39,Döviz İşlemi,-5052.45,TRY,BR015,,False
TX00000251,ACC000007,2025-03-02,10:57,Market/Alışveriş,2404.06,TRY,BR017,Seyahat,False
TX00000252,ACC000007,2025-03-04,03:59,Yatırım İşlemi,1701.59,TRY,BR015,,False
TX00000253,ACC000007,2025-03-08,06:19,Fatura Ödemesi,-498.12,TRY,BR017,,False
TX00000254,ACC000007,2025-03-14,06:49,Market/Alışveriş,1465.66,TRY,BR013,E-ticaret,False
TX00000255,ACC000007,2025-03-17,13:49,Döviz İşlemi,772.04,TRY,BR009,,False
TX00000256,ACC000007,2025-03-30,13:22,Yatırım İşlemi,-4448.33,TRY,BR005,,False
TX00000257,ACC000007,2025-04-02,22:16,ATM Para Çekme,-723.3,TRY,BR010,,False
TX00000258,ACC000007,2025-04-04,10:35,Yatırım İşlemi,643.3,TRY,BR018,,False
TX00000259,ACC000007,2025-04-10,15:46,Market/Alışveriş,-1450.36,TRY,BR019,Seyahat,False
TX00000260,ACC000007,2025-04-20,08:34,Havale/EFT,2999.49,TRY,BR012,,False
TX00000261,ACC000007,2025-04-25,04:37,Yatırım İşlemi,529.26,TRY,BR010,,False
TX00000262,ACC000007,2025-05-05,22:45,Fatura Ödemesi,-712.86,TRY,BR011,,False
TX00000263,ACC000007,2025-05-10,14:23,Kredi Kartı Harcaması,452.63,TRY,BR011,Restoran,False
TX00000264,ACC000007,2025-05-15,13:25,Fatura Ödemesi,-320.81,TRY,BR016,,False
TX00000265,ACC000007,2025-05-18,13:02,Kredi Kartı Harcaması,1137.5,TRY,BR017,Sağlık,True
TX00000266,ACC000007,2025-05-30,06:48,Döviz İşlemi,-297.01,TRY,BR003,,False
TX00000267,ACC000007,2025-06-07,22:47,Kredi Kartı Harcaması,1330.88,TRY,BR014,Market,False
TX00000268,ACC000007,2025-06-12,08:54,Kredi Kartı Harcaması,506.7,TRY,BR008,Diğer,False
TX00000269,ACC000007,2025-06-22,05:06,Market/Alışveriş,1668.28,TRY,BR001,Elektronik,False
TX00000270,ACC000007,2025-07-01,08:14,Maaş Yatışı,25673.44,TRY,BR007,,False
TX00000271,ACC000007,2025-07-03,12:01,Döviz İşlemi,1393.33,TRY,BR015,,False
