account_id,customer_id,account_type,branch_id,open_date,currency,balance,interest_rate,loan_amount
ACC000033,CUS00020,Vadeli,BR016,2025-02-25,TRY,24602.4,2.03,0.0
ACC000034,CUS00021,Vadesiz,BR008,2026-04-29,TRY,15603.37,0.0,0.0
ACC000035,CUS00022,Bireysel Kredi,BR001,2025-10-20,TRY,885.76,51.49,16979.16
ACC000036,CUS00023,Kredi Kartı,BR011,2025-11-21,TRY,13329.32,35.17,25817.01
ACC000037,CUS00023,Vadeli,BR005,2025-02-01,TRY,20164.3,4.04,0.0
ACC000038,CUS00024,Vadesiz,BR013,2025-08-14,TRY,33636.58,0.0,0.0
ACC000039,CUS00024,Kredi Kartı,BR011,2025-08-27,TRY,-41118.08,34.78,131775.57
ACC000040,CUS00024,Bireysel Kredi,BR006,2026-03-08,TRY,5825.71,45.29,85549.72
ACC000041,CUS00025,Bireysel Kredi,BR006,2023-07-07,TRY,10181.72,49.67,100287.93
ACC000042,CUS00025,Kredi Kartı,BR020,2024-12-28,TRY,20900.68,37.81,126559.84
ACC000043,CUS00026,Vadeli,BR010,2022-01-22,TRY,15483.58,2.38,0.0
ACC000044,CUS00026,Bireysel Kredi,BR006,2024-09-06,TRY,8925.37,63.21,27919.27
ACC000045,CUS00027,Bireysel Kredi,BR020,2026-07-08,TRY,-8312.38,58.31,25757.92
ACC000046,CUS00027,Vadesiz,BR020,2026-04-12,TRY,22725.1,0.0,0.0
ACC000047,CUS00027,KOBİ Kredi,BR019,2025-12-01,TRY,-5188.86,47.37,62660.91
ACC000048,CUS00028,Vadesiz,BR008,2025-09-23,TRY,10847.89,0.0,0.0
ACC000049,CUS00029,Vadesiz,BR011,2026-06-30,TRY,2458.51,0.0,0.0
ACC000050,CUS00030,Vadeli,BR003,2026-02-04,TRY,8939.7,3.86,0.0
ACC000051,CUS00031,Vadesiz,BR015,2025-05-25,TRY,37090.85,0.0,0.0
ACC000052,CUS00031,Bireysel Kredi,BR006,2025-04-20,USD,21394.24,47.26,85421.82
ACC000053,CUS00032,KOBİ Kredi,BR013,2025-10-31,TRY,41439.94,46.78,40436.13
ACC000054,CUS00033,Vadeli,BR003,2026-04-29,TRY,21268.94,1.6,0.0
ACC000055,CUS00033,KOBİ Kredi,BR001,2026-04-17,TRY,2369.72,63.31,109798.7
ACC000056,CUS00033,Bireysel Kredi,BR003,2026-02-05,TRY,50735.3,61.08,59731.78
ACC000057,CUS00034,Vadesiz,BR018,2022-10-25,EUR,16210.83,0.0,0.0
ACC000058,CUS00035,Kredi Kartı,BR001,2025-12-19,TRY,17089.23,52.88,92133.88
ACC000059,CUS00035,Bireysel Kredi,BR020,2026-03-22,USD,33216.92,35.5,31029.48
ACC000060,CUS00035,KOBİ Kredi,BR004,2026-05-28,TRY,4905.6,64.1,12292.87
ACC000061,CUS00036,KOBİ Kredi,BR018,2025-06-13,TRY,23927.81,39.85,8922.32
ACC000062,CUS00037,Vadesiz,BR013,2024-06-09,TRY,10713.27,0.0,0.0
ACC000063,CUS00038,Vadeli,BR012,2025-08-09,TRY,16134.48,1.76,0.0
ACC000064,CUS00038,Vadesiz,BR020,2025-07-25,TRY,21221.05,0.0,0.0
ACC000065,CUS00039,Vadeli,BR006,2025-05-29,TRY,3504.9,4.43,0.0
ACC000066,CUS00040,Vadesiz,BR010,2024-03-08,TRY,24134.88,0.0,0.0
ACC000067,CUS00041,Kredi Kartı,BR003,2026-04-16,TRY,45719.05,43.56,54501.53
ACC000068,CUS00042,Bireysel Kredi,BR012,2026-05-10,TRY,48102.31,31.56,31982.01
ACC000069,CUS00043,Kredi Kartı,BR008,2025-10-30,USD,10005.32,49.75,37582.59
ACC000070,CUS00044,Vadesiz,BR003,2026-02-28,TRY,5246.29,0.0,0.0
ACC000071,CUS00045,Bireysel Kredi,BR018,2023-09-11,TRY,5522.74,43.55,41967.28
ACC000072,CUS00045,Vadeli,BR017,2024-07-05,TRY,25212.79,3.11,0.0
ACC000073,CUS00046,Bireysel Kredi,BR010,2026-02-24,TRY,23735.42,61.6,151945.38
ACC000074,CUS00046,Vadeli,BR002,2026-05-17,TRY,11942.99,4.2,0.0
ACC000075,CUS00046,KOBİ Kredi,BR019,2026-07-13,TRY,42294.94,51.71,16308.99
ACC000076,CUS00047,Bireysel Kredi,BR006,2023-12-19,EUR,9214.39,35.85,139000.26
ACC000077,CUS00048,Vadeli,BR005,2025-11-09,TRY,24489.24,1.74,0.0
ACC000078,CUS00049,Vadeli,BR020,2025-08-18,TRY,19135.87,4.23,0.0
ACC000079,CUS00049,KOBİ Kredi,BR003,2025-07-31,TRY,16582.97,49.47,88501.34
ACC000080,CUS00050,Kredi Kartı,BR001,2026-07-05,TRY,-21919.02,51.81,21394.71
ACC000081,CUS00050,Bireysel Kredi,BR017,2026-06-19,TRY,-25336.06,33.94,39630.7
ACC000082,CUS00051,KOBİ Kredi,BR019,2025-09-10,TRY,23385.26,63.77,118463.41
ACC000083,CUS00052,Vadesiz,BR019,2024-04-29,TRY,18587.34,0.0,0.0
ACC000084,CUS00053,KOBİ Kredi,BR014,2025-01-13,TRY,44711.42,52.92,13277.43
ACC000085,CUS00053,Kredi Kartı,BR019,2025-01-07,TRY,13108.09,31.31,103706.19
ACC000086,CUS00054,Vadeli,BR020,2023-05-22,TRY,11624.54,3.58,0.0
ACC000087,CUS00055,Kredi Kartı,BR008,2023-08-19,TRY,17753.62,46.63,117223.72
ACC000088,CUS00056,Kredi Kartı,BR001,2021-06-21,TRY,7051.88,57.78,24259.43
ACC000089,CUS00057,Bireysel Kredi,BR004,2026-06-30,EUR,3625.03,37.98,120306.22
ACC000090,CUS00058,Bireysel Kredi,BR011,2024-10-18,TRY,39489.2,44.59,82063.9
ACC000091,CUS00059,Vadeli,BR007,2023-03-07,USD,10252.0,2.72,0.0
ACC000092,CUS00059,Bireysel Kredi,BR016,2022-12-26,TRY,3260.85,60.35,7927.83
ACC000093,CUS00060,KOBİ Kredi,BR003,2023-10-11,TRY,50873.17,47.74,62645.31
ACC000094,CUS00060,Vadeli,BR005,2026-03-12,TRY,22807.76,3.07,0.0
ACC000095,CUS00061,Vadeli,BR007,2026-03-13,USD,16453.42,2.25,0.0
ACC000096,CUS00061,KOBİ Kredi,BR015,2024-08-04,TRY,7906.24,42.61,33248.55
ACC000097,CUS00062,Kredi Kartı,BR015,2025-07-31,TRY,5872.62,52.24,15233.73
ACC000098,CUS00063,Vadesiz,BR008,2026-03-22,TRY,25244.22,0.0,0.0
ACC000099,CUS00064,Vadeli,BR019,2023-05-03,TRY,2801.5,2.53,0.0
ACC000100,CUS00064,Bireysel Kredi,BR009,2025-09-16,TRY,154.0,54.11,34829.03
ACC000101,CUS00065,Bireysel Kredi,BR002,2026-04-10,TRY,67707.77,50.03,49260.43
ACC000102,CUS00066,Vadeli,BR007,2025-01-23,TRY,33599.44,2.73,0.0
ACC000103,CUS00066,KOBİ Kredi,BR001,2026-03-23,USD,16310.54,63.85,58830.78
ACC000104,CUS00066,Kredi Kartı,BR001,2025-01-23,TRY,19853.84,34.63,33157.92
ACC000105,CUS00067,Vadesiz,BR008,2022-02-21,TRY,17920.86,0.0,0.0
ACC000106,CUS00068,Kredi Kartı,BR014,2025-06-03,USD,43509.63,59.81,32690.02
ACC000107,CUS00068,KOBİ Kredi,BR015,2026-03-13,TRY,32611.28,46.33,22893.58
ACC000108,CUS00069,KOBİ Kredi,BR019,2025-07-12,TRY,66633.26,47.9,20245.27
ACC000109,CUS00069,Bireysel Kredi,BR012,2025-08-03,TRY,83861.66,50.78,13124.24
ACC000110,CUS00070,Vadesiz,BR016,2022-04-28,TRY,10000.31,0.0,0.0
ACC000111,CUS00071,Kredi Kartı,BR010,2025-02-07,TRY,25924.62,48.11,95003.78
ACC000112,CUS00071,KOBİ Kredi,BR008,2025-03-22,USD,59179.65,58.19,108752.4
ACC000113,CUS00071,Vadeli,BR020,2024-12-12,TRY,18089.31,2.46,0.0
ACC000114,CUS00072,Vadesiz,BR016,2023-11-03,EUR,6841.83,0.0,0.0
ACC000115,CUS00073,Bireysel Kredi,BR013,2026-06-04,TRY,38564.61,31.24,88422.6
ACC000116,CUS00074,KOBİ Kredi,BR011,2023-05-30,TRY,22876.42,37.78,26695.42
ACC000117,CUS00074,Vadeli,BR018,2025-04-17,TRY,4889.65,2.93,0.0
ACC000118,CUS00075,Kredi Kartı,BR018,2025-10-03,TRY,-2210.63,33.42,49676.7
ACC000119,CUS00075,KOBİ Kredi,BR005,2025-11-13,TRY,-591.67,55.38,14122.99
ACC000120,CUS00075,Vadesiz,BR018,2025-06-14,TRY,21876.35,0.0,0.0
ACC000121,CUS00076,Kredi Kartı,BR003,2024-03-05,TRY,71776.3,37.82,44857.19
ACC000122,CUS00077,Bireysel Kredi,BR009,2024-10-21,TRY,8624.04,46.23,17173.76
ACC000123,CUS00077,Kredi Kartı,BR004,2022-01-31,TRY,29806.72,60.32,116515.05
ACC000124,CUS00077,Vadeli,BR019,2025-08-26,TRY,10409.26,3.36,0.0
ACC000125,CUS00078,Vadeli,BR017,2025-11-01,TRY,8544.37,3.54,0.0
ACC000126,CUS00079,Bireysel Kredi,BR005,2026-06-27,TRY,18709.53,37.01,72255.06
ACC000127,CUS00079,Vadesiz,BR014,2026-06-25,EUR,6996.06,0.0,0.0
ACC000128,CUS00080,Bireysel Kredi,BR006,2022-10-16,TRY,6143.21,47.07,68953.91
ACC000129,CUS00080,Vadeli,BR006,2025-03-09,TRY,25855.83,1.67,0.0
ACC000130,CUS00080,KOBİ Kredi,BR015,2022-07-07,TRY,3699.85,56.64,11777.43
ACC000131,CUS00081,Vadeli,BR016,2025-03-19,TRY,6352.26,3.84,0.0
ACC000132,CUS00082,Bireysel Kredi,BR014,2025-06-06,TRY,2266.05,63.79,74907.09
ACC000133,CUS00083,Vadesiz,BR018,2025-05-28,TRY,13658.87,0.0,0.0
ACC000134,CUS00084,Vadesiz,BR011,2023-06-30,TRY,9740.56,0.0,0.0
ACC000135,CUS00085,Vadesiz,BR008,2024-02-28,TRY,18722.2,0.0,0.0
ACC000136,CUS00085,KOBİ Kredi,BR012,2022-09-22,TRY,11312.48,33.59,91782.3
ACC000137,CUS00086,Kredi Kartı,BR003,2024-11-07,USD,28419.9,40.44,64169.03
ACC000138,CUS00086,Vadeli,BR010,2026-07-08,TRY,4442.92,3.06,0.0
ACC000139,CUS00087,Bireysel Kredi,BR011,2026-07-13,EUR,12380.96,47.16,43319.08
ACC000140,CUS00087,Vadeli,BR007,2026-07-23,TRY,15172.88,4.22,0.0
ACC000141,CUS00088,Vadesiz,BR008,2024-08-19,TRY,58429.2,0.0,0.0
ACC000142,CUS00088,Vadeli,BR005,2024-11-25,TRY,10467.52,1.57,0.0
ACC000143,CUS00089,Vadesiz,BR002,2025-06-12,TRY,561.26,0.0,0.0
ACC000144,CUS00089,Kredi Kartı,BR009,2022-09-17,TRY,18556.81,51.81,60296.85
ACC000145,CUS00090,Vadesiz,BR001,2025-03-17,TRY,13898.73,0.0,0.0
ACC000146,CUS00090,KOBİ Kredi,BR004,2025-06-05,TRY,22694.51,43.31,61642.75
ACC000147,CUS00091,Bireysel Kredi,BR007,2026-05-24,TRY,3860.17,52.06,23157.98
ACC000148,CUS00091,Vadeli,BR010,2026-05-11,TRY,12696.63,1.8,0.0
ACC000149,CUS00092,KOBİ Kredi,BR014,2024-04-07,USD,9864.24,33.67,29761.36
ACC000150,CUS00092,Vadeli,BR020,2026-06-06,TRY,16707.31,1.84,0.0
ACC000151,CUS00093,Vadeli,BR020,2026-03-31,TRY,7842.74,2.29,0.0
ACC000152,CUS00094,Vadeli,BR014,2024-05-08,TRY,2935.74,1.62,0.0
ACC000153,CUS00094,Kredi Kartı,BR016,2026-05-25,USD,36836.55,54.09,16238.86
ACC000154,CUS00095,Vadeli,BR001,2025-08-25,TRY,11289.54,1.77,0.0
ACC000155,CUS00096,KOBİ Kredi,BR016,2023-12-10,TRY,3041.23,33.15,14147.5
ACC000156,CUS00097,Vadesiz,BR008,2025-01-21,TRY,8221.49,0.0,0.0
ACC000157,CUS00097,Kredi Kartı,BR010,2024-07-25,TRY,140.81,31.75,26406.33
ACC000158,CUS00098,Vadesiz,BR012,2026-04-06,USD,17803.03,0.0,0.0
ACC000159,CUS00098,Kredi Kartı,BR011,2026-04-21,TRY,17253.12,34.06,63299.13
ACC000160,CUS00099,Vadesiz,BR006,2023-06-25,TRY,29902.76,0.0,0.0
ACC000161,CUS00099,KOBİ Kredi,BR015,2025-06-14,EUR,15055.14,39.39,28934.81
ACC000162,CUS00099,Bireysel Kredi,BR003,2025-11-09,TRY,6722.66,42.0,11221.11
ACC000163,CUS00100,Bireysel Kredi,BR015,2025-09-23,TRY,2214.44,43.5,23588.1
ACC000164,CUS00101,Bireysel Kredi,BR005,2022-02-22,TRY,-29911.26,32.05,38879.96
ACC000165,CUS00101,Vadeli,BR006,2021-08-22,TRY,25292.19,4.23,0.0
ACC000166,CUS00101,Vadesiz,BR016,2025-03-24,USD,16398.26,0.0,0.0
ACC000167,CUS00102,Vadeli,BR012,2021-08-09,TRY,23412.35,4.09,0.0
ACC000168,CUS00102,Bireysel Kredi,BR005,2021-10-29,TRY,4425.18,47.08,43722.75
ACC000169,CUS00103,Bireysel Kredi,BR009,2024-05-25,TRY,14046.04,30.43,44640.87
ACC000170,CUS00103,Vadesiz,BR017,2026-01-18,TRY,6643.93,0.0,0.0
ACC000171,CUS00103,KOBİ Kredi,BR019,2024-04-17,TRY,48104.62,37.84,67704.26
ACC000172,CUS00104,Kredi Kartı,BR008,2026-01-12,TRY,43759.73,53.23,51467.15
ACC000173,CUS00104,Vadesiz,BR013,2025-11-10,TRY,7277.41,0.0,0.0
ACC000174,CUS00104,Vadeli,BR018,2025-10-29,USD,20638.07,3.34,0.0
ACC000175,CUS00105,Vadeli,BR017,2026-04-29,USD,31976.62,4.06,0.0
ACC000176,CUS00106,Vadesiz,BR008,2025-04-29,TRY,16453.28,0.0,0.0
ACC000177,CUS00106,Bireysel Kredi,BR009,2025-06-07,TRY,6379.2,37.79,25532.37
ACC000178,CUS00106,Vadeli,BR013,2025-08-04,TRY,13735.89,2.2,0.0
ACC000179,CUS00107,KOBİ Kredi,BR015,2021-07-28,TRY,53264.19,47.45,130893.8
ACC000180,CUS00108,Bireysel Kredi,BR001,2024-03-04,TRY,6992.16,44.43,54368.6
ACC000181,CUS00109,Vadesiz,BR020,2025-08-24,EUR,8085.58,0.0,0.0
ACC000182,CUS00109,KOBİ Kredi,BR010,2025-06-11,USD,3867.28,49.68,63305.58
ACC000183,CUS00110,Bireysel Kredi,BR012,2024-12-19,USD,20003.74,58.58,48835.41
ACC000184,CUS00110,Kredi Kartı,BR015,2026-04-19,TRY,14966.89,56.86,52273.24
ACC000185,CUS00111,Kredi Kartı,BR004,2026-04-30,TRY,-16538.99,53.06,34144.56
ACC000186,CUS00111,Bireysel Kredi,BR001,2026-04-28,TRY,11578.82,59.05,16328.07
ACC000187,CUS00112,Kredi Kartı,BR004,2026-06-05,TRY,26977.88,35.75,38694.45
ACC000188,CUS00112,KOBİ Kredi,BR005,2023-05-26,USD,16144.93,55.99,42658.13
ACC000189,CUS00112,Bireysel Kredi,BR014,2023-03-31,TRY,2749.17,51.38,168742.21
ACC000190,CUS00113,Bireysel Kredi,BR007,2023-10-25,TRY,41346.53,57.35,131733.5
ACC000191,CUS00114,Vadesiz,BR002,2026-04-12,USD,20865.8,0.0,0.0
ACC000192,CUS00114,Bireysel Kredi,BR019,2026-04-06,TRY,9229.1,61.21,59080.08
ACC000193,CUS00115,KOBİ Kredi,BR017,2025-02-15,TRY,34646.64,47.46,18342.97
ACC000194,CUS00116,Vadesiz,BR019,2024-11-18,TRY,31549.67,0.0,0.0
ACC000195,CUS00116,Bireysel Kredi,BR017,2025-02-15,TRY,11504.64,61.86,69484.88
ACC000196,CUS00117,Vadeli,BR004,2026-07-09,TRY,34547.07,3.3,0.0
ACC000197,CUS00117,KOBİ Kredi,BR011,2026-06-07,TRY,22401.26,43.46,108466.13
ACC000198,CUS00118,Vadeli,BR011,2026-05-17,EUR,3265.35,2.86,0.0
ACC000199,CUS00118,Kredi Kartı,BR005,2025-10-03,TRY,1889.44,51.09,125951.59
ACC000200,CUS00118,KOBİ Kredi,BR017,2023-01-13,TRY,-5839.47,54.55,122881.71
ACC000201,CUS00119,KOBİ Kredi,BR007,2024-01-07,TRY,7935.46,40.17,91795.73
ACC000202,CUS00119,Vadeli,BR012,2023-10-06,USD,8247.8,1.9,0.0
ACC000203,CUS00119,Vadesiz,BR006,2022-05-28,TRY,51768.08,0.0,0.0
ACC000204,CUS00120,Kredi Kartı,BR012,2022-03-25,TRY,13128.76,50.4,135236.17
ACC000205,CUS00120,Vadesiz,BR014,2024-09-02,TRY,43850.89,0.0,0.0
ACC000206,CUS00121,KOBİ Kredi,BR001,2025-08-10,TRY,9203.62,30.88,74503.46
ACC000207,CUS00121,Kredi Kartı,BR005,2025-11-06,TRY,42520.58,31.98,24028.29
ACC000208,CUS00121,Vadeli,BR009,2025-01-23,TRY,305.0,1.98,0.0
ACC000209,CUS00122,Kredi Kartı,BR005,2026-07-17,USD,33948.42,54.17,19946.22
ACC000210,CUS00123,KOBİ Kredi,BR002,2025-08-13,TRY,15399.0,45.84,48099.24
ACC000211,CUS00124,KOBİ Kredi,BR018,2024-08-28,TRY,6126.73,47.88,34776.05
ACC000212,CUS00124,Vadeli,BR010,2022-06-28,TRY,5676.32,1.64,0.0
ACC000213,CUS00125,Bireysel Kredi,BR011,2024-10-31,EUR,69234.84,31.88,113957.37
ACC000214,CUS00126,Vadeli,BR008,2025-03-20,USD,14841.97,3.61,0.0
ACC000215,CUS00126,Bireysel Kredi,BR012,2026-06-01,TRY,10983.23,49.13,8481.51
ACC000216,CUS00127,Vadeli,BR015,2022-06-30,TRY,19372.29,3.55,0.0
ACC000217,CUS00127,Kredi Kartı,BR006,2023-05-09,EUR,10210.36,55.73,40784.92
ACC000218,CUS00128,Vadesiz,BR014,2026-02-14,TRY,41290.29,0.0,0.0
ACC000219,CUS00129,Vadeli,BR019,2026-06-01,USD,8030.68,1.52,0.0
ACC000220,CUS00130,Vadeli,BR002,2025-08-01,TRY,18784.45,2.47,0.0
ACC000221,CUS00131,KOBİ Kredi,BR010,2026-04-06,TRY,-35587.34,50.04,95135.17
ACC000222,CUS00132,Kredi Kartı,BR017,2026-01-08,TRY,5968.71,36.44,18990.28
ACC000223,CUS00133,KOBİ Kredi,BR006,2026-01-10,TRY,7111.09,48.8,18415.59
ACC000224,CUS00134,Vadeli,BR007,2026-01-15,TRY,8604.63,2.49,0.0
ACC000225,CUS00135,KOBİ Kredi,BR017,2024-09-22,TRY,17273.84,49.65,45034.07
ACC000226,CUS00136,Vadesiz,BR012,2026-06-23,TRY,4731.34,0.0,0.0
ACC000227,CUS00136,KOBİ Kredi,BR020,2025-06-28,USD,21816.11,38.53,44549.3
ACC000228,CUS00137,Kredi Kartı,BR013,2025-06-26,USD,15784.43,63.07,25054.46
ACC000229,CUS00138,KOBİ Kredi,BR010,2025-02-12,TRY,4970.21,48.09,62778.68
ACC000230,CUS00139,KOBİ Kredi,BR016,2021-02-18,TRY,18828.3,61.44,53934.15
ACC000231,CUS00139,Bireysel Kredi,BR007,2021-12-31,TRY,11456.38,32.88,26511.47
ACC000232,CUS00140,KOBİ Kredi,BR018,2026-02-19,TRY,13826.9,32.29,200272.37
ACC000233,CUS00141,Vadeli,BR004,2025-11-17,TRY,15239.89,3.99,0.0
ACC000234,CUS00141,Bireysel Kredi,BR014,2022-09-08,TRY,12201.59,62.89,15758.64
ACC000235,CUS00142,Vadeli,BR015,2026-04-26,TRY,18369.42,1.61,0.0
ACC000236,CUS00142,Vadesiz,BR003,2026-05-19,TRY,25017.58,0.0,0.0
ACC000237,CUS00143,KOBİ Kredi,BR019,2024-06-25,USD,-8205.61,61.88,149596.4
ACC000238,CUS00143,Vadesiz,BR014,2024-07-22,TRY,7703.55,0.0,0.0
ACC000239,CUS00144,Bireysel Kredi,BR001,2023-04-18,TRY,16563.24,34.14,22716.45
ACC000240,CUS00144,Kredi Kartı,BR001,2023-09-29,TRY,10464.31,51.64,10251.41
ACC000241,CUS00145,KOBİ Kredi,BR003,2022-06-30,TRY,19084.63,47.6,31081.69
ACC000242,CUS00145,Vadesiz,BR010,2025-06-09,TRY,19343.36,0.0,0.0
ACC000243,CUS00146,Vadesiz,BR010,2026-06-17,TRY,12712.76,0.0,0.0
ACC000244,CUS00147,Bireysel Kredi,BR001,2025-09-17,TRY,-2455.88,48.67,52071.78
ACC000245,CUS00148,Bireysel Kredi,BR018,2026-01-12,TRY,1554.49,52.19,6108.8
ACC000246,CUS00149,Kredi Kartı,BR001,2023-09-12,TRY,20956.39,49.43,92980.98
ACC000247,CUS00150,Vadesiz,BR019,2026-04-15,TRY,19680.54,0.0,0.0
ACC000248,CUS00151,Vadesiz,BR007,2025-10-10,TRY,4289.83,0.0,0.0
ACC000249,CUS00151,Kredi Kartı,BR012,2025-10-13,TRY,19477.43,61.7,74787.07
ACC000250,CUS00152,Vadeli,BR008,2025-10-01,TRY,9385.46,2.26,0.0
ACC000251,CUS00152,KOBİ Kredi,BR004,2025-10-20,TRY,10054.97,57.99,27139.96
ACC000252,CUS00152,Vadesiz,BR002,2025-06-14,USD,11376.95,0.0,0.0
ACC000253,CUS00153,KOBİ Kredi,BR018,2022-06-04,TRY,4609.75,53.51,48158.69
ACC000254,CUS00153,Bireysel Kredi,BR009,2025-04-18,TRY,21706.7,55.4,50820.13
ACC000255,CUS00153,Kredi Kartı,BR016,2023-09-24,EUR,16780.57,42.5,13867.11
ACC000256,CUS00154,Vadeli,BR010,2024-12-16,TRY,10867.03,4.2,0.0
ACC000257,CUS00154,Vadesiz,BR011,2023-10-20,TRY,41745.53,0.0,0.0
ACC000258,CUS00155,Kredi Kartı,BR019,2025-02-25,TRY,21385.05,49.84,20703.94
ACC000259,CUS00156,Bireysel Kredi,BR001,2026-05-21,TRY,29051.32,57.5,131490.39
ACC000260,CUS00156,Vadeli,BR014,2026-02-18,TRY,17294.27,2.58,0.0
ACC000261,CUS00157,Kredi Kartı,BR015,2026-07-15,TRY,14954.69,57.12,99627.18
ACC000262,CUS00157,Bireysel Kredi,BR016,2026-07-17,TRY,10603.77,36.15,82619.07
ACC000263,CUS00158,Kredi Kartı,BR018,2023-10-29,TRY,9846.17,55.67,29767.09
ACC000264,CUS00158,Vadeli,BR003,2023-08-24,TRY,22876.71,4.18,0.0
ACC000265,CUS00159,Vadesiz,BR019,2026-06-28,TRY,30985.96,0.0,0.0
ACC000266,CUS00159,Bireysel Kredi,BR002,2026-03-26,TRY,-929.88,49.02,95034.42
ACC000267,CUS00160,Bireysel Kredi,BR013,2026-05-14,TRY,4505.02,57.03,92955.28
ACC000268,CUS00160,Vadeli,BR010,2026-03-19,TRY,16478.34,3.0,0.0
ACC000269,CUS00160,KOBİ Kredi,BR003,2026-04-29,TRY,13631.49,47.58,76588.4
ACC000270,CUS00161,KOBİ Kredi,BR017,2026-05-27,TRY,3496.74,35.57,17002.04
ACC000271,CUS00161,Vadeli,BR019,2024-11-26,EUR,7487.07,3.48,0.0
ACC000272,CUS00162,Bireysel Kredi,BR008,2025-03-29,TRY,27216.57,38.11,47735.54
ACC000273,CUS00162,Kredi Kartı,BR009,2026-02-15,TRY,29929.54,31.5,88724.12
ACC000274,CUS00162,Vadesiz,BR007,2025-10-06,TRY,21555.75,0.0,0.0
ACC000275,CUS00163,Bireysel Kredi,BR015,2025-09-25,USD,69856.59,31.4,88584.28
ACC000276,CUS00163,KOBİ Kredi,BR011,2025-12-04,TRY,15621.16,63.9,26667.13
ACC000277,CUS00164,Kredi Kartı,BR019,2025-12-23,TRY,16073.79,36.08,69014.58
ACC000278,CUS00164,KOBİ Kredi,BR013,2025-09-25,TRY,11350.08,52.87,70349.58
ACC000279,CUS00165,KOBİ Kredi,BR013,2024-11-19,EUR,29483.33,37.8,18180.48
ACC000280,CUS00165,Kredi Kartı,BR013,2023-09-04,TRY,41650.46,60.37,54680.52
ACC000281,CUS00166,Bireysel Kredi,BR020,2025-08-24,TRY,67371.21,60.87,41043.04
ACC000282,CUS00167,Vadeli,BR003,2026-06-30,TRY,10440.82,2.34,0.0
ACC000283,CUS00168,Vadeli,BR012,2025-01-06,TRY,5143.11,3.95,0.0
ACC000284,CUS00169,Bireysel Kredi,BR004,2024-07-21,TRY,5274.41,46.76,80478.94
ACC000285,CUS00169,Kredi Kartı,BR007,2026-04-25,TRY,62420.69,52.65,38385.68
